Player,GP,G,A,PTS,PIM,S,TOI,BLK,HIT,FOW,FOL
Marc-Edouard Vlasic,75,6,22,28,35,144,1593,144,18,0,0
Nathan Beaulieu,74,4,24,28,44,118,1442,102,65,0,0
Jimmy Vesey,80,16,11,27,26,116,1091,37,64,2,5
Antoine Roussel,60,12,15,27,115,82,931,45,69,7,9
Shane Doan,74,6,21,27,48,144,1114,22,101,94,105
Morgan Rielly,76,6,21,27,21,171,1685,120,46,0,0
Erik Haula,72,15,11,26,28,134,995,38,39,404,346
Sam Bennett,81,13,13,26,75,122,1214,46,127,374,437
Mikkel Boedker,81,10,16,26,10,122,1162,34,71,5,13
Scott Wilson,78,8,18,26,32,127,854,31,167,3,0
Ian Cole,81,5,21,26,72,89,1605,194,164,0,0
Paul Martin,81,4,22,26,20,57,1557,124,41,0,0
Micheal Ferland,76,15,10,25,50,106,879,26,149,3,4
Troy Brouwer,74,13,12,25,31,86,1200,39,171,20,44
Bobby Ryan,62,13,12,25,24,111,963,36,109,6,3
Lars Eller,81,12,13,25,36,115,1126,30,71,416,467
Daniel Winnik,72,12,13,25,49,82,930,34,25,9,12
Jordan Martinook,77,11,14,25,40,109,1207,68,50,460,577
Dominic Moore,82,11,14,25,44,96,1061,42,63,357,297
Casey Cizikas,59,8,17,25,30,82,821,58,144,420,426
William Karlsson,81,6,19,25,10,96,1084,24,35,435,525
Calvin de Haan,82,5,20,25,36,116,1628,190,139,0,0
Mike Ribeiro,46,4,21,25,14,38,735,6,33,183,261
Jonas Brodin,68,3,22,25,20,85,1331,89,20,0,0
Brett Ritchie,78,16,8,24,38,167,1006,23,153,1,1
Alex Chiasson,81,12,12,24,46,104,1084,18,74,7,22
Trevor Lewis,82,12,12,24,30,145,1170,30,174,44,66
Loui Eriksson,65,11,13,24,8,132,1214,26,11,0,1
Anthony Beauvillier,66,9,15,24,10,101,859,26,81,123,174
Colton Sceviour,80,9,15,24,25,172,1171,64,108,31,27
Pavel Zacha,70,8,16,24,19,83,1002,24,54,183,271
Zack Kassian,79,7,17,24,101,110,972,16,201,4,7
Troy Stecher,71,3,21,24,25,125,1419,66,51,0,0
Sami Vatanen,71,3,21,24,30,117,1538,128,75,0,0
Brett Connolly,66,15,8,23,40,81,706,12,89,4,10
Marcus Foligno,80,13,10,23,73,97,1238,57,279,1,4
Nikolai Kulemin,72,12,11,23,18,74,995,45,78,14,13
Chris Tierney,80,11,12,23,6,90,1168,44,50,399,424
Mikhail Grigorenko,75,10,13,23,18,85,1057,26,27,111,81
Tom Pyatt,82,9,14,23,16,95,1281,89,46,21,28
Johnny Boychuk,66,6,17,23,19,155,1368,133,160,1,0
Radko Gudas,67,6,17,23,93,113,1293,124,280,0,0
David Savard,74,6,17,23,44,135,1616,126,127,0,0
Matt Stajan,81,6,17,23,40,59,1027,39,60,385,383
Jack Johnson,82,5,18,23,32,116,1789,134,94,1,0
Mattias Ekholm,82,3,20,23,34,120,1924,108,61,0,0
John Moore,63,12,10,22,39,102,1196,61,68,0,0
Melker Karlsson,67,11,11,22,22,73,858,59,67,1,5
Tomas Hertl,49,10,12,22,14,100,844,42,76,245,229
Jori Lehtera,64,7,15,22,34,67,971,29,64,409,423
Nic Dowd,70,6,16,22,25,78,872,35,145,338,369
Carl Hagelin,61,6,16,22,16,128,945,24,66,3,3
Dennis Seidenberg,73,5,17,22,32,89,1418,146,154,0,0
Anton Stralman,73,5,17,22,20,130,1672,96,106,0,0
Brendan Perlini,57,14,7,21,20,92,846,15,42,1,1
Chris Stewart,79,13,8,21,94,82,821,19,85,2,9
Aaron Ekblad,68,10,11,21,58,225,1459,62,88,0,0
Marian Gaborik,56,10,11,21,18,123,828,15,21,0,1
Justin Abdelkader,64,7,14,21,50,104,1066,27,144,5,12
Alexander Edler,68,6,15,21,36,138,1653,138,106,2,1
Jesper Fast,68,6,15,21,16,56,938,44,99,17,27
Pavel Buchnevich,41,8,12,20,13,55,544,8,17,1,6
Blake Comeau,77,8,12,20,58,103,1154,22,129,114,132
Kevin Labanc,55,8,12,20,22,70,752,14,19,2,2
Oscar Lindberg,65,8,12,20,32,86,704,36,94,299,276
Jakob Chychrun,68,7,13,20,47,86,1133,99,109,0,0
Hampus Lindholm,66,6,14,20,36,94,1482,94,98,2,0
Josh Morrissey,82,6,14,20,38,99,1598,139,145,0,0
Cal Clutterbuck,66,5,15,20,28,115,924,25,222,3,5
Thomas Hickey,76,4,16,20,35,87,1331,103,89,0,0
Jake McCabe,76,3,17,20,26,79,1574,114,73,0,0
Brett Pesce,82,2,18,20,20,109,1739,148,57,0,0
Joel Armia,57,10,9,19,20,111,863,30,68,3,4
Matt Read,63,10,9,19,8,92,869,32,95,5,10
Beau Bennett,65,8,11,19,20,101,881,13,76,3,13
Tom Wilson,82,7,12,19,133,95,1060,44,239,3,7
Trevor Daley,56,5,14,19,37,84,1141,83,29,0,0
Ben Hutton,71,5,14,19,31,130,1455,106,46,0,0
Adam Larsson,79,4,15,19,55,85,1592,160,253,0,0
Cody Franson,68,3,16,19,34,93,1257,68,87,0,0
Matt Hunwick,72,1,18,19,18,73,1294,90,91,0,0
Rene Bourque,65,12,6,18,56,111,906,26,75,0,5
Scottie Upshall,73,10,8,18,45,85,802,21,99,3,9
Frank Vatrano,44,10,8,18,14,116,593,16,51,2,5
Brandon Pirri,60,8,10,18,25,96,737,20,41,140,103
Patrick Sharp,48,8,10,18,31,146,765,24,24,29,32
Drake Caggiula,60,7,11,18,16,93,794,19,97,117,167
Michael Del Zotto,51,6,12,18,28,92,995,85,173,0,1
Esa Lindell,73,6,12,18,22,99,1597,119,93,0,1
Francois Beauchemin,81,5,13,18,32,132,1743,156,73,0,0
Niklas Hjalmarsson,73,5,13,18,20,61,1569,181,23,0,0
Shane Prince,50,5,13,18,18,71,649,12,36,4,3
Alan Quine,61,5,13,18,8,82,764,29,77,264,286
Dennis Wideman,57,5,13,18,32,87,1153,74,61,0,0
Derek Forbort,82,2,16,18,54,100,1650,159,180,1,0
Andrew MacDonald,73,2,16,18,26,65,1468,151,39,0,0
David Schlemko,62,2,16,18,14,118,1038,112,35,0,0
Andrew Copp,64,9,8,17,18,77,790,28,87,95,97
Jamie McGinn,72,9,8,17,23,116,948,18,116,1,2
Darren Helm,50,8,9,17,20,98,768,18,71,216,204
Torrey Mitchell,78,8,9,17,38,68,983,56,47,410,342
Miles Wood,60,8,9,17,86,105,771,26,68,1,1
Michael Matheson,81,7,10,17,36,179,1705,118,69,1,0
Riley Nash,81,7,10,17,14,125,1118,36,67,276,286
Joonas Donskoi,61,6,11,17,10,95,842,27,27,8,8
Nick Shore,70,6,11,17,20,79,895,22,58,362,359
Brian Campbell,80,5,12,17,24,74,1474,83,43,0,0
Marcus Kruger,70,5,12,17,34,83,981,62,31,357,370
Josh Manson,82,5,12,17,82,88,1527,79,227,0,0
Austin Watson,77,5,12,17,99,90,957,66,143,17,25
Chris Wideman,76,5,12,17,46,123,1061,68,68,0,0
Mark Pysyk,82,4,13,17,10,86,1522,99,72,0,1
Nate Schmidt,60,3,14,17,16,60,929,37,51,0,0
Cody Ceci,79,2,15,17,20,143,1833,159,111,1,0
Erik Johnson,46,2,15,17,9,96,1016,98,87,0,0
Connor Murphy,77,2,15,17,45,81,1477,119,201,0,0
Kevin Fiala,54,11,5,16,18,114,730,14,44,0,0
Adam Cracknell,69,10,6,16,12,87,722,37,91,135,160
Zemgus Girgensons,75,7,9,16,18,112,987,26,120,273,306
Brock McGinn,57,7,9,16,6,74,684,22,91,1,3
Brandon Carlo,82,6,10,16,59,88,1707,115,87,0,0
Nick Cousins,60,6,10,16,31,99,720,24,61,89,128
Tanner Kero,47,6,10,16,8,60,634,51,41,209,262
Derek MacKenzie,82,6,10,16,50,91,1030,45,192,386,386
Curtis McKenzie,53,6,10,16,72,66,575,31,103,3,3
Trevor van Riemsdyk,58,5,11,16,29,73,1068,100,22,0,0
Deryk Engelland,81,4,12,16,85,107,1485,134,135,1,0
Tom Kuhnhackl,57,4,12,16,18,49,607,42,112,2,2
Dan Hamhuis,79,1,15,16,23,83,1529,100,93,0,0
Matt Calvert,65,10,5,15,48,92,868,34,61,2,14
Kyle Brodziak,69,8,7,15,27,55,773,39,56,323,330
Dale Weise,64,8,7,15,39,94,824,24,135,3,0
Chris VandeVelde,81,6,9,15,16,69,936,60,114,24,20
Anthony Duclair,58,5,10,15,14,76,771,17,22,4,4
Ondrej Kase,53,5,10,15,18,77,625,14,42,1,6
Dan Girardi,63,4,11,15,16,56,1203,166,107,0,0
Matt Benning,62,3,12,15,29,69,1030,64,111,0,0
Joel Edmundson,69,3,12,15,60,81,1226,95,122,0,0
Jay Bouwmeester,81,1,14,15,28,106,1815,111,67,0,0
Brian Dumoulin,70,1,14,15,14,78,1438,99,113,0,0
Benoit Pouliot,67,8,6,14,34,77,942,39,39,7,21
Nick Bjugstad,54,7,7,14,22,91,710,9,72,186,205
Tim Schaller,59,7,7,14,23,89,724,38,73,28,29
Vinnie Hinostroza,49,6,8,14,17,76,587,19,31,68,103
Carl Soderberg,80,6,8,14,22,128,1076,42,34,365,337
Kevin Bieksa,81,3,11,14,63,94,1519,100,173,0,0
Luke Glendening,74,3,11,14,26,76,956,62,150,307,261
Travis Hamonic,49,3,11,14,60,74,1002,108,58,0,0
Matt Irwin,74,3,11,14,26,98,1204,121,115,0,0
Kevin Klein,60,3,11,14,31,54,1058,123,135,0,0
Andrej Sustr,80,3,11,14,43,93,1407,102,45,0,1
Toby Enstrom,60,1,13,14,42,46,1314,94,24,0,0
Alex Petrovic,49,1,13,14,79,55,889,55,106,0,0
Paul Postma,65,1,13,14,15,50,706,42,36,0,0
Brooks Orpik,79,0,14,14,48,93,1405,132,181,0,0
Ryan Reaves,80,7,6,13,104,58,711,26,239,0,5
Lukas Sedlak,62,7,6,13,25,57,603,28,66,232,211
Colin Miller,61,6,7,13,55,85,965,36,85,0,0
Austin Czarnik,49,5,8,13,12,66,638,25,19,57,76
Tyler Ennis,51,5,8,13,12,89,655,23,45,3,13
Justin Braun,81,4,9,13,28,95,1626,161,136,0,0
Andy Greene,66,4,9,13,8,83,1448,124,50,0,0
Nick Jensen,49,4,9,13,12,59,870,56,55,0,0
Marco Scandella,71,4,9,13,25,88,1302,85,50,0,0
Karl Alzner,82,3,10,13,28,81,1623,162,105,0,0
Kevan Miller,58,3,10,13,50,49,1032,76,121,0,0
Niklas Kronwall,57,2,11,13,32,67,1109,81,77,0,0
Luca Sbisa,82,2,11,13,40,75,1556,122,130,0,0
Riley Sheahan,80,2,11,13,14,109,1118,38,81,236,230
Nic Petan,54,1,12,13,12,57,589,10,12,145,170
Kris Russell,68,1,12,13,23,68,1443,213,67,0,0
Fedor Tyutin,69,1,12,13,38,46,1307,90,116,0,0
Shawn Matthias,45,8,4,12,13,51,610,19,47,5,11
Joakim Nordstrom,82,7,5,12,17,104,1043,41,148,9,20
Kyle Clifford,73,6,6,12,92,122,783,7,146,2,3
